"true_model","true_phi","true_nknots","bic_true_model","adaflasso","phi_adaflasso","phi_yw_adaflasso","nknots_adaflasso","bic_adaflasso","knots_WCM","nknots_WCM","bic_WCM","phi_WCM","knots_AR1seg","nknots_AR1seg","bic_AR1seg","phi_AR1seg","best_iter","changepoints","nknots_best_iter","phi_best_iter","phi_yw_best_iter","min_bic_best_iter","distance_adaflasso","distance_WCM","distance_AR1seg","distance_best_iter_flasso"
"251,501,751",-0.3,3,99.4254649749375,"251,502,751",-0.342235434646745,-0.346044138893635,3,130.987008268801,"251,502,751",3,126.488484702107,-0.346044138893635,"251,502,751",3,167.968404827016,-0.414429503548101,1,"251,502,751",3,-0.342235434646745,-0.346044138893635,130.98701,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,124.889453851607,"252,501,751",-0.279042909790985,-0.302415663368531,3,120.280987339789,"250,501,751",3,122.122824062799,-0.303631706609786,"251,501,751",3,102.560732038277,-0.262303795567812,1,"252,501,751",3,-0.279042909790985,-0.302415663368531,120.28099,0.001,0.001,0,0.001
"251,501,751",-0.3,3,103.581990397879,"251,501,749",-0.24584102285427,-0.263404343173611,3,96.02213893068,"251,501,749",3,92.7317359014114,-0.263404343173611,"251,501,749",3,111.124441893,-0.301226299787203,1,"251,501,749",3,-0.24584102285427,-0.263404343173611,96.02214,0.002,0.002,0.002,0.002
"251,501,751",-0.3,3,108.534070478928,"251,501,752",-0.245357026991754,-0.31588450108592,3,92.4466061244854,"251,501,751",3,118.122703916394,-0.319427151980439,"251,501,752",3,114.54695272943,-0.313135784004242,1,"251,501,752",3,-0.245357026991754,-0.31588450108592,92.44661,0.001,0,0.001,0.001
"251,501,751",-0.3,3,126.08057157577,"250,500,751",-0.26940767070146,-0.279300360644861,3,113.035023074197,"250,500,585,751",4,109.946946646274,-0.293329914322723,"251,500,585,751",4,98.5848097524921,-0.269816826512053,1,"250,500,751",3,-0.26940767070146,-0.279300360644861,113.03502,0.002,1.002,1.001,0.002
"251,501,751",-0.3,3,55.4819486984354,"248,501,753",-0.125655947915894,-0.291922496192055,3,15.4912473632593,"251,501,753",3,58.1989872025677,-0.289824303983739,"251,501,753",3,60.6329721099897,-0.294458765889065,1,"248,501,753",3,-0.125655947915894,-0.291922496192055,15.49125,0.005,0.002,0.002,0.005
"251,501,751",-0.3,3,106.583375619547,"251,502,751",-0.225573485411746,-0.286529057568475,3,85.4593923276338,"251,502,753",3,101.390148744507,-0.288807821106408,"251,502,753",3,65.4662209174823,-0.191905438347862,1,"251,502,751",3,-0.225573485411746,-0.286529057568475,85.45939,0.001,0.003,0.003,0.001
"251,501,751",-0.3,3,96.2148037517711,"251,501,755",-0.188951129145738,-0.255105013146166,3,46.6463263903952,"251,501,753",3,65.6673851543393,-0.258803957225672,"251,501,753",3,58.4120072323003,-0.243400420600843,1,"251,501,755",3,-0.188951129145738,-0.255105013146166,46.64633,0.004,0.002,0.002,0.004
"251,501,751",-0.3,3,82.1170874578077,"251,501,751",-0.311851294278081,-0.31595794314336,3,110.977068153018,"251,501,751",3,105.518871390276,-0.31595794314336,"251,501,751",3,79.7237018742821,-0.25671936241707,1,"251,501,751",3,-0.311851294278081,-0.31595794314336,110.97707,0,0,0,0
"251,501,751",-0.3,3,112.187506841403,"252,500,751",-0.174908323878816,-0.276549215387656,3,66.4556503016459,"252,502,751",3,92.3487939649316,-0.277711113190454,"252,502,752",3,102.928023469787,-0.298218023146609,1,"252,500,751",3,-0.174908323878816,-0.276549215387656,66.45565,0.002,0.002,0.003,0.002
"251,501,751",-0.3,3,155.635909429111,"250,501,751",-0.273830366879366,-0.299067722814728,3,121.750387064681,"251,501,751",3,125.365499643555,-0.298782886486474,"251,501,751",3,118.162182313447,-0.285027757030998,1,"250,501,751",3,-0.273830366879366,-0.299067722814728,121.75039,0.001,0,0,0.001
"251,501,751",-0.3,3,110.226139308664,"251,501,752",-0.311312226324201,-0.31404161791549,3,129.558033348338,"251,501,752",3,121.394690281806,-0.31404161791549,"251,501,752",3,110.925350521642,-0.292235991629979,1,"251,501,752",3,-0.311312226324201,-0.31404161791549,129.55803,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,136.144929648384,"251,500,751",-0.303434110040915,-0.322880905481219,3,140.922463321543,"251,500,751",3,141.460070478448,-0.322880905481219,"251,501,751",3,115.12327579861,-0.266672044603163,1,"251,500,751",3,-0.303434110040915,-0.322880905481219,140.92246,0.001,0.001,0,0.001
"251,501,751",-0.3,3,99.5439756952653,"253,501,751",-0.274056236503865,-0.304821624988158,3,95.0530920661374,"253,501,751",3,98.2732561423912,-0.304821624988158,"253,501,751",3,115.707027967823,-0.336244688059028,1,"253,501,751",3,-0.274056236503865,-0.304821624988158,95.05309,0.002,0.002,0.002,0.002
"251,501,751",-0.3,3,106.004159911551,"250,502,752",-0.236276851298306,-0.29454342518449,3,90.4789283149781,"250,502,752",3,106.787509515211,-0.29454342518449,"250,500,752",3,114.931994793958,-0.310950316125882,1,"250,502,752",3,-0.236276851298306,-0.29454342518449,90.47893,0.003,0.003,0.003,0.003
"251,501,751",-0.3,3,136.993766472047,"251,501,751",-0.297609756860655,-0.325951944262968,3,147.811517065007,"251,501,751",3,145.636964672293,-0.325951944262968,"251,501,751",3,162.403098229212,-0.356808759712072,1,"251,501,751",3,-0.297609756860655,-0.325951944262968,147.81152,0,0,0,0
"251,501,751",-0.3,3,102.321328011154,"250,501,751",-0.246894767600491,-0.265547730931297,3,92.3745702528199,"251,501,751",3,85.3523699635426,-0.270046151258541,"251,501,751",3,122.355493679362,-0.33725492554805,1,"250,501,751",3,-0.246894767600491,-0.265547730931297,92.37457,0.001,0,0,0.001
"251,501,751",-0.3,3,113.964103871671,"252,501,751",-0.301969223215095,-0.319916630878501,3,128.463885773396,"252,501,751",3,127.822067787386,-0.319916630878501,"253,501,751",3,152.589934680589,-0.365032546660636,1,"252,501,751",3,-0.301969223215095,-0.319916630878501,128.46389,0.001,0.001,0.002,0.001
"251,501,751",-0.3,3,110.783225049856,"251,501,750",-0.250403848726389,-0.307234376078113,3,104.481655676596,"251,501,753",3,115.85158269043,-0.311274978869548,"251,501,753",3,95.875303350158,-0.268543941287315,1,"251,501,750",3,-0.250403848726389,-0.307234376078113,104.48166,0.001,0.002,0.002,0.001
"251,501,751",-0.3,3,110.253556323574,"250,501,751",-0.274756219144502,-0.284550177390451,3,102.00838822388,"250,501,751",3,92.5755201269236,-0.284550177390451,"250,501,751",3,118.157217165957,-0.330604690399307,1,"250,501,751",3,-0.274756219144502,-0.284550177390451,102.00839,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,97.1979119727016,"251,502,751",-0.303656348846894,-0.306583902588507,3,116.369659687777,"251,502,751",3,111.219090191017,-0.306583902588507,"251,502,751",3,80.856427777356,-0.2309146894175,1,"251,502,751",3,-0.303656348846894,-0.306583902588507,116.36966,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,91.6047071207749,"251,501,751",-0.3161475191966,-0.3247645225096,3,102.848962992795,"251,501,751",3,94.030550982378,-0.3247645225096,"251,501,751",3,147.486594987398,-0.405803677998554,1,"251,501,751",3,-0.3161475191966,-0.3247645225096,102.84896,0,0,0,0
"251,501,751",-0.3,3,108.729985386542,"251,501,751",-0.257775136865379,-0.264196974106759,3,92.226782673494,"251,501,751",3,83.9254866152477,-0.264196974106759,"251,501,751",3,93.2028900237209,-0.282711041883962,1,"251,501,751",3,-0.257775136865379,-0.264196974106759,92.22678,0,0,0,0
"251,501,751",-0.3,3,83.0507169593371,"252,501,751",-0.257372217788456,-0.288484015820592,3,68.9604968320045,"252,501,751",3,76.0003329087046,-0.288484015820592,"252,501,751",3,42.0880918243091,-0.207844017010417,1,"252,501,751",3,-0.257372217788456,-0.288484015820592,68.9605,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,62.7615434627722,"251,501,751",-0.321741483024211,-0.330257580779336,3,85.3343842791996,"251,501,751",3,78.2547837627895,-0.330257580779336,"251,501,751",3,30.4309539767188,-0.231988340520734,1,"251,501,751",3,-0.321741483024211,-0.330257580779336,85.33438,0,0,0,0
"251,501,751",-0.3,3,103.875738676572,"251,499,751",-0.310308135579486,-0.340524516405745,3,119.89055486915,"251,499,751",3,122.206746631118,-0.340524516405745,"253,500,751",3,136.795685385197,-0.367293282562609,1,"251,499,751",3,-0.310308135579486,-0.340524516405745,119.89055,0.002,0.002,0.003,0.002
"251,501,751",-0.3,3,84.1223194423586,"251,501,751",-0.216529636574188,-0.24249225226738,3,53.4106794216484,"251,501,751",3,52.127124116119,-0.24249225226738,"251,501,751",3,34.4313352546642,-0.198418341510648,1,"251,501,751",3,-0.216529636574188,-0.24249225226738,53.41068,0,0,0,0
"251,501,751",-0.3,3,90.6942475284596,"251,502,506,751",-0.300491083841719,-0.309837919522115,4,98.675707576355,"251,502,751",3,86.348537818294,-0.30597426522894,"251,506,751",3,85.3855264100908,-0.304702989459626,2,"251,506,751",3,-0.144926324900972,-0.305435637380365,39.57121,1.001,0.001,0.005,0.005
"251,501,751",-0.3,3,100.04828982675,"251,501,752",-0.362097190836811,-0.370422580263227,3,129.456562736406,"251,501,752",3,127.315864806686,-0.370422580263227,"251,501,752",3,103.786170698828,-0.330495866916252,1,"251,501,752",3,-0.362097190836811,-0.370422580263227,129.45656,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,132.903736962734,"252,501,751",-0.153843424719529,-0.286463036276402,3,91.979121740758,"252,501,751",3,127.740035072162,-0.286463036276402,"252,501,751",3,137.612209113838,-0.306917633214008,1,"252,501,751",3,-0.153843424719529,-0.286463036276402,91.97912,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,154.07106625834,"251,503,751",-0.233577231149517,-0.330163755219141,3,119.229469635581,"251,501,751",3,152.470608121315,-0.332318376844329,"252,501,751",3,175.183942151308,-0.371016343463989,1,"251,503,751",3,-0.233577231149517,-0.330163755219141,119.22947,0.002,0,0.001,0.002
"251,501,751",-0.3,3,108.19513078102,"251,501,751",-0.265030692466721,-0.269243854912958,3,93.844244112577,"251,501,751",3,87.6011906010293,-0.269243854912958,"251,501,751",3,49.3311016595243,-0.155264523362232,1,"251,501,751",3,-0.265030692466721,-0.269243854912958,93.84424,0,0,0,0
"251,501,751",-0.3,3,117.990843845366,"252,501,751",-0.251055977620019,-0.259525231230129,3,96.7398547728074,"252,501,751",3,88.6635412589826,-0.259525231230129,"252,501,751",3,80.6044604198553,-0.241425618312729,1,"252,501,751",3,-0.251055977620019,-0.259525231230129,96.73985,0.001,0.001,0.001,0.001
"251,501,751",-0.3,3,99.590051891373,"251,501,751",-0.295749758533536,-0.306277326996178,3,103.754163978173,"251,500,751",3,100.315347120263,-0.306478935829931,"252,501,751",3,135.556399615584,-0.368832396173713,1,"251,501,751",3,-0.295749758533536,-0.306277326996178,103.75416,0,0.001,0.001,0
"251,501,751",-0.3,3,126.848203121741,"251,501,751,752",-0.32770965434244,-0.333336886376292,4,151.148205504227,"251,501,751",3,144.351129430393,-0.333333265427369,"251,501,752",3,129.267595008253,-0.302301414231746,1,"251,501,751,752",4,-0.32770965434244,-0.333336886376292,151.14821,1,0,0.001,1
"251,501,751",-0.3,3,124.713232547532,"251,501,751",-0.303247216443876,-0.324497128418798,3,130.100966665642,"251,501,751",3,129.954969459074,-0.324497128418798,"251,501,751",3,112.440360341801,-0.289760489802024,1,"251,501,751",3,-0.303247216443876,-0.324497128418798,130.10097,0,0,0,0
