"true_model","bic_true_model","PELT","bic_PELT","knots_BS","bic_BS","knots_WBS","bic_WBS","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_pelt","distance_wbs","distance_bs","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"251,501,751",6987.57574239598,"93,251,333,500,593,751,905",108.045886084716,"93,251,333,500,593,751,905",108.045886084716,"93,251,333,500,593,751,905",108.045886084716,"249,251,254,450,484,487,500,501,506,507,537,751",7122.66197667244,"251,500,751",6984.37941682406,2,"251,500,751",6983.70439,4.001,4.001,4.001,9,0.001,0.001
"251,501,751",6998.29262939034,"137,251,352,501,658,751,890",148.265321757358,"137,251,352,501,658,751,890",148.265321757358,"137,251,352,501,658,751,973",149.691527300549,"236,248,251,501,751",7068.0379619804,"251,501,751",6995.6996729756,2,"251,501,751",6995.67672,4,4,4,2,0,0
"251,501,751",7004.24172681944,"99,250,425,499,586,751,822",132.410918237714,"99,250,425,499,586,751,822",132.410918237714,"99,250,425,503,586,751,822",133.096835669954,"250,251,480,499,503,504,506,751",7074.26382574098,"250,499,751",6993.94025276229,2,"250,499,751",6993.13647,4.003,4.003,4.003,5.002,0.003,0.003
"251,501,751",6911.22171155832,"99,251,302,501,626,751,899",48.0107908704347,"99,252,302,501,626,751,899",48.989636797601,"99,252,302,501,626,751,899",48.989636797601,"251,252,490,491,499,501,528,533,552,751",7037.15368419247,"251,501,751",6910.0049047118,2,"251,501,751",6909.11188,4,4.001,4.001,7,0,0
"251,501,751",6953.92064261884,"220,252,387,501,636,753,959",79.2303006150484,"220,252,387,501,636,753,959",79.2303006150484,"220,252,387,501,636,753,959",79.2303006150484,"251,252,253,477,501,752,753",7015.26386235797,"252,501,753",6937.68566934186,2,"252,501,753",6937.58144,4.003,4.003,4.003,4.001,0.003,0.003
"251,501,751",6956.80549959935,"135,251,361,500,625,751,829,940",87.6074760470336,"135,251,361,500,625,751,829,940",87.6074760470336,"135,251,361,500,625,751,829,940",87.6074760470336,"251,468,470,499,500,501,507,508,510,535,746,751,752",7112.7142368927,"251,500,751",6952.67070691047,2,"251,500,751",6951.53703,5.001,5.001,5.001,10,0.001,0.001
"251,501,751",6891.36926318342,"157,252,383,501,643,751,934",42.7089165491951,"157,252,383,501,643,751,934",42.7089165491951,"157,252,383,501,643,751,934",42.7089165491951,"250,251,252,501,516,521,524,751",6966.19099557495,"252,501,751",6888.52932680204,2,"252,501,751",6888.4629,4.001,4.001,4.001,5,0.001,0.001
"251,501,751",6994.78470654975,"82,211,251,458,502,586,751,919",129.138901546957,"82,211,251,458,502,586,751,919",129.138901546957,"82,251,458,502,586,751,919",129.573464579853,"245,248,251,439,501,502,506,751",7094.13072270916,"251,501,751",6998.60051784691,2,"251,501,751",6991.2619,5.001,4.001,5.001,5,0,0
"251,501,751",6990.54169022665,"215,251,378,501,669,751,843",114.00551908892,"131,249,378,501,669,751,843",115.270061269244,"224,249,378,501,669,751,843",116.864392185371,"244,249,251,253,261,501,504,751",7093.11300383128,"251,501,751",6983.07786353453,2,"251,501,751",6980.95024,4,4.002,4.002,5,0,0
"251,501,751",6924.73301710525,"90,251,380,501,660,747,840",59.5709614266251,"90,251,380,501,660,747,840",59.5709614266251,"90,251,380,501,660,747,840",59.5709614266251,"249,251,253,254,493,497,501,542,745,746,747,750,751",7096.67168909814,"251,501,751",6931.78176084357,2,"251,501,751",6919.61668,4.004,4.004,4.004,10,0,0
"251,501,751",6997.77868947399,"91,251,368,499,623,751,930",129.376709033986,"91,251,368,499,623,751,930",129.376709033986,"91,251,368,499,623,751,930",129.376709033986,"249,250,251,258,498,499,501,510,751",7082.85932629473,"251,499,751",6991.49484785541,2,"251,499,751",6987.91874,4.002,4.002,4.002,6,0.002,0.002
"251,501,751",6880.9716653184,"111,251,357,506,660,751,785,910",17.2915645965611,"111,251,357,501,660,708,751,776,910",27.6771452904769,"111,251,357,506,662,751,776,910",18.2851855892287,"243,251,257,501,505,506,509,751,755,776,777",6980.76479043859,"251,501,506,751,776",6873.44823784712,2,"251,501,506,751,776",6873.28116,5.005,5.005,6,8,2,2
"251,501,751",6992.14264201407,"135,252,413,501,621,751,946",109.938987480228,"135,252,413,501,621,751,946",109.938987480228,"135,252,413,501,621,751,946",109.938987480228,"252,483,494,501,751,752",7051.75534772522,"252,501,751",6983.66785149216,2,"252,501,751",6983.62946,4.001,4.001,4.001,3.001,0.001,0.001
"251,501,751",6941.33587015078,"91,251,388,502,557,725,751,903",64.8307000150354,"91,251,388,502,557,725,751,903",64.8307000150354,"91,251,388,502,557,725,751,903",64.8307000150354,"249,251,252,253,270,499,500,502,725,751",7037.87788378251,"251,502,751",6938.57829812722,2,"251,502,751",6937.40679,5.001,5.001,5.001,7.001,0.001,0.001
"251,501,751",6905.1670836271,"21,251,353,499,620,751,856",41.7835297494153,"21,251,353,499,620,751,856",41.7835297494153,"21,166,251,353,499,620,751,856",40.8527776536763,"247,251,269,486,496,499,501,502,528,750,751,765",7031.95448839618,"251,499,751",6904.59748398411,2,"251,499,751",6902.30772,4.002,5.002,4.002,9,0.002,0.002
"251,501,751",6942.20042181001,"199,251,397,501,610,711,751,874",76.2420112361426,"199,251,397,501,623,711,751,874",77.3892051364103,"199,251,397,501,623,711,751,874",77.3892051364103,"251,468,481,501,751",7008.29948926139,"251,501,751",6935.30870485679,2,"251,501,751",6935.25316,5,5,5,2,0,0
