"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"379,606",0.005,2,6880.75252778142,"379,606",0.00515207263037605,2,6877.09889560135,2,"379,606",2,0.00515207263037605,6876.19503,0,0.00515207263037605,0
"108,454,797",0.005,3,7040.38404406254,"108,454,796",0.00484019000294965,3,7035.63615467754,1,"108,454,796",3,0.00484019000294965,7035.63615,0.001,0.00484019000294965,0.001
"116,241,369,489,623,744,871",0.005,7,7012.43726351817,"116,239,369,489,623,731,747,871",0.00499733176547369,8,7012.28512669939,3,"116,239,369,489,623,747,871",7,0.00454342462712105,6996.74082,1.005,0.00499733176547369,0.005
"303",0.005,1,6955.93673934585,"300",0.00500651667320262,1,6950.3611616412,2,"300",1,0.00500651667320262,6950.04632,0.003,0.00500651667320262,0.003
"126,233,342,476,614,755,858",0.005,7,7047.61372114146,"126,233,342,475,615,754,860",0.00476898167369809,7,7026.14456584994,2,"126,233,342,475,615,754,860",7,0.00476898167369809,7023.38202,0.005,0.00476898167369809,0.005
"201,327,451,570,679,861",0.005,6,6993.50224032973,"201,327,451,573,679,861",0.0063871711083175,6,6978.36080246382,2,"201,327,451,573,679,861",6,0.0063871711083175,6978.26417,0.003,0.0063871711083175,0.003
"477,712",0.005,2,6945.18631891329,"480,712",0.00511122473872244,2,6941.83412107453,2,"480,712",2,0.00511122473872244,6941.81638,0.003,0.00511122473872244,0.003
"160,318,447,638,831",0.005,5,6988.07132580594,"160,318,447,638,828,832",0.00518405791315208,6,6992.77258639767,3,"160,318,447,638,832",5,0.00502908890774806,6982.54677,1.001,0.00518405791315208,0.001
"193,344,529,710,882",0.005,5,6863.32100784879,"189,347,529,706,882",0.00622608535996061,5,6869.86825015221,2,"189,347,529,706,882",5,0.00622608535996061,6855.98519,0.011,0.00622608535996061,0.011
"232,410,553,683,800",0.005,5,6979.26340835814,"234,410,553,683,801",0.00580687658591797,5,6975.00561987135,2,"234,410,553,683,801",5,0.00580687658591797,6971.28408,0.003,0.00580687658591797,0.003
"213,448,781",0.005,3,7029.61048455947,"212,448,781",0.00461738567470577,3,7021.42267395981,2,"212,448,781",3,0.00461738567470577,7020.78577,0.001,0.00461738567470577,0.001
"142,332,506,663,865",0.005,5,7026.96590633614,"142,332,506,663,865",0.00491367966149203,5,7022.6999973948,2,"142,332,506,663,865",5,0.00491367966149203,7021.78698,0,0.00491367966149203,0
"365,799",0.005,2,6901.51109014251,"367,799",0.00496158756620613,2,6893.40400231252,2,"367,799",2,0.00496158756620613,6893.35653,0.002,0.00496158756620613,0.002
"251,448,612,842",0.005,4,6980.57523364249,"251,448,612,842",0.00457749867590438,4,6978.43765669149,2,"251,448,612,842",4,0.00457749867590438,6977.69101,0,0.00457749867590438,0
"125,227,365,488,626,759,899",0.005,7,6959.16282385463,"125,227,364,488,626,759,899",0.0039794029132079,7,6961.70440111829,2,"125,227,364,488,626,759,899",7,0.0039794029132079,6951.20707,0.001,0.0039794029132079,0.001
"643,888",0.005,2,6941.69201206695,"643,888,894",0.00478604084504398,3,6945.75590621678,3,"643,888",2,0.00479920609848197,6936.15077,1,0.00478604084504398,0
"145,252,391,524,664,780,883",0.005,7,7048.14021034067,"145,250,391,522,664,783,889",0.00461400544147349,7,7051.66073001885,2,"145,250,391,522,664,783,889",7,0.00461400544147349,7034.041,0.013,0.00461400544147349,0.013
"229,516,710",0.005,3,6931.37838970566,"229,516,712",0.00578333223476458,3,6918.88917019559,2,"229,516,712",3,0.00578333223476458,6918.4884,0.002,0.00578333223476458,0.002
"155,260,378,497,649,781,897",0.005,7,7028.7044371366,"156,260,379,495,648,781,896",0.00426524444549925,7,7014.82389968601,2,"156,260,379,495,648,781,896",7,0.00426524444549925,7013.28637,0.006,0.00426524444549925,0.006
"160,490",0.005,2,6992.956269653,"163,490",0.00544781700735576,2,6991.28263045254,2,"163,490",2,0.00544781700735576,6986.10968,0.003,0.00544781700735576,0.003
"200,415,625,809",0.005,4,6969.28106635217,"200,415,430,625,809",0.00523445432129277,5,6978.75808571668,3,"200,415,625,809",4,0.00482506394129473,6966.26767,1,0.00523445432129277,0
"175,304,542,792",0.005,4,7064.19865598402,"175,178,296,542,546,788,792",0.00626494742254602,7,7078.01133483743,3,"178,296,542,788,792",5,0.00644435882060278,7051.76551,3.008,0.00626494742254602,1.011
"185,438,584,767",0.005,4,6985.99119446336,"185,438,584,767",0.00469934115094306,4,6985.1418542927,2,"185,438,584,767",4,0.00469934115094306,6984.86023,0,0.00469934115094306,0
"613",0.005,1,6933.03950795994,"613",0.00497269205115643,1,6931.33485203134,2,"613",1,0.00497269205115643,6931.32663,0,0.00497269205115643,0
"251,443,649,862",0.005,4,7021.74509666738,"251,443,648,858",0.00517759082191594,4,7019.86605643378,2,"251,443,648,858",4,0.00517759082191594,7014.77364,0.005,0.00517759082191594,0.005
"123,284,430,577,748,889",0.005,6,7010.25857101983,"123,125,283,284,430,577,717,749,889",0.00437520165959913,9,7036.1855423254,3,"125,284,430,577,749,889",6,0.0038704188844444,7002.56716,3.001,0.00437520165959913,0.003
"334,444,714",0.005,3,6917.25929130564,"334,444,713",0.00509930021762503,3,6910.12755237802,2,"334,444,713",3,0.00509930021762503,6909.25634,0.001,0.00509930021762503,0.001
"228,494,764",0.005,3,6988.20455692505,"229,495,764",0.00484153953101376,3,6980.56722124308,2,"229,495,764",3,0.00484153953101376,6979.1586,0.002,0.00484153953101376,0.002
"172,324,481,652,827",0.005,5,6993.68605992522,"172,324,481,654,827",0.00560936385057592,5,6976.09607985181,2,"172,324,481,654,827",5,0.00560936385057592,6974.07333,0.002,0.00560936385057592,0.002
"350,605",0.005,2,6959.66198416869,"350,605",0.00477891519483366,2,6957.29630408275,2,"350,605",2,0.00477891519483366,6957.29453,0,0.00477891519483366,0
"174,662",0.005,2,6853.42530801363,"170,174,662",0.0053296524176976,3,6858.43251883813,3,"174,662",2,0.00535418258639206,6848.41793,1,0.0053296524176976,0
"110,297,467,634,826",0.005,5,6939.97943507592,"110,297,467,634,828",0.00541519669564952,5,6930.54210329232,2,"110,297,467,634,828",5,0.00541519669564952,6929.67287,0.002,0.00541519669564952,0.002
"142,316,437,596,735,882",0.005,6,7029.54057358995,"142,316,437,450,596,735,883",0.00551564343620318,7,7043.2692148372,3,"142,316,437,596,735,883",6,0.00532621548998035,7023.91935,1.001,0.00551564343620318,0.001
"274,481,746",0.005,3,6974.19452038132,"273,481,591,746",0.00313795481905744,4,6951.12767361013,2,"273,481,591,746",4,0.00313795481905744,6950.64096,1.001,0.00313795481905744,1.001
"140,270,428,570,706,862",0.005,6,7060.47302191458,"44,91,116,132,140,168,270,428,570,706,863",0.00587210968062278,11,7110.06370057537,5,"140,270,428,570,706,863",6,0.00472937550009585,7052.14277,5.001,0.00587210968062278,0.001
"190,347,485,617,741,879",0.005,6,7022.89034871578,"190,347,485,607,617,622,741,879",0.00445100162595212,8,7039.66165561892,4,"190,347,485,607,741,879",6,0.00491498076769065,7022.63134,2,0.00445100162595212,0.01
"159,268,442,641,742,887",0.005,6,6995.61447530556,"159,268,442,641,742,888",0.00496324205639093,6,6987.43756594337,2,"159,268,442,641,742,888",6,0.00496324205639093,6984.96235,0.001,0.00496324205639093,0.001
"532",0.005,1,6967.84874175556,"532",0.00497326394236776,1,6964.40823499427,2,"532",1,0.00497326394236776,6964.36156,0,0.00497326394236776,0
"363,831",0.005,2,6916.75681503493,"363,832",0.00529701156528574,2,6920.48545318383,2,"363,832",2,0.00529701156528574,6908.45534,0.001,0.00529701156528574,0.001
"136,348,625,804",0.005,4,6966.29644391926,"136,344,355,625,806",0.00527496826180527,5,6955.84302661733,6,"136,355,625,806",4,0.00550765848305248,6947.87229,1.006,0.00527496826180527,0.009
"128,244,372,488,628,759,864",0.005,7,6981.71076730489,"128,232,247,314,372,479,488,628,631,759,864",0.00508709963234188,11,6998.10015214006,6,"128,247,372,479,628,759,864",7,0.00451387962082149,6968.05889,4.003,0.00508709963234188,0.012
"277,521,677",0.005,3,7000.65655482652,"277,523,677,791",0.00438455511453349,4,7004.79738274425,2,"277,523,677,791",4,0.00438455511453349,6995.80632,1.002,0.00438455511453349,1.002
"111,276,439,562,726,844",0.005,6,7029.47734438462,"108,276,439,563,728,844",0.00516079736671652,6,7011.67451051965,2,"108,276,439,563,728,844",6,0.00516079736671652,7008.40415,0.006,0.00516079736671652,0.006
"471",0.005,1,6870.12262694852,"471",0.00501255422704207,1,6868.74144342969,2,"471",1,0.00501255422704207,6867.71014,0,0.00501255422704207,0
"227,444,642",0.005,3,6990.81261421099,"227,444,642",0.0044655043288718,3,6993.50352340683,2,"227,444,642",3,0.0044655043288718,6988.27354,0,0.0044655043288718,0
"161,355,555,691,862",0.005,5,6967.4271986686,"157,162,355,555,691,862",0.00447397012010595,6,6973.11886757591,3,"162,355,555,691,862",5,0.00463915184214995,6962.44858,1.001,0.00447397012010595,0.001
"217,427,591,699",0.005,4,7055.39406861421,"216,427,594,698",0.00525762262722666,4,7041.99519715687,2,"216,427,594,698",4,0.00525762262722666,7039.38099,0.005,0.00525762262722666,0.005
"213,621",0.005,2,6883.57840999053,"213,614",0.00491159288910263,2,6883.0826849939,2,"213,614",2,0.00491159288910263,6881.6704,0.007,0.00491159288910263,0.007
"142,352,510,686,889",0.005,5,6965.98812940139,"142,353,510,595,683,889",0.00345161600034666,6,6959.4794396287,3,"142,353,510,683,889",5,0.00398546326539437,6949.90096,1.004,0.00345161600034666,0.004
"270,431,570,785",0.005,4,6941.35386155043,"270,424,432,570,785",0.00522543727831738,5,6948.74509708421,3,"270,432,570,785",4,0.00509347968837901,6933.3447,1.001,0.00522543727831738,0.001
"238,405,692",0.005,3,6936.23700859487,"238,405,692",0.0050578517033198,3,6933.44884275626,2,"238,405,692",3,0.0050578517033198,6930.55782,0,0.0050578517033198,0
