"true_model","true_slope","true_nknots","true_means","bic_true_model","flasso","slope_flasso","slope_OLS_flasso","nknots_flasso","bic_flasso","adaflasso","slope_adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","slope_iter2flasso","slope_OLS_iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","slope_iter3flasso","slope_OLS_iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","slope_iter4flasso","slope_OLS_iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","slope_iter5flasso","slope_OLS_iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","slope_iter6flasso","slope_OLS_iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","slope_iter7flasso","slope_OLS_iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","slope_iter8flasso","slope_OLS_iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","slope_iter9flasso","slope_OLS_iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","slope_iter10flasso","slope_OLS_iter10flasso","nknots_iter10flasso","bic_iter10flasso"
"379,606",0.005,2,"0,-2.1712,-0.229",6880.75252778142,"350,356,379,606,607,613,679",0.00522044725469969,0.00507773631214036,7,6966.10726640014,"379,606",0.00528280199088086,0.00515207263037605,2,6877.09889560135,"379,606",0.0051520726277399,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207263171893,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207263092313,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207263001363,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207263046838,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207263092313,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207263012732,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207262887676,0.00515207263037605,2,6876.19503100715,"379,606",0.00515207262921782,0.00515207263037605,2,6876.19503100715
"108,454,797",0.005,3,"0,-1.9827,-3.6503,-5.6448",7040.38404406254,"108,454,796",0.000647177524897286,0.00484019000294965,3,7169.49133149511,"108,454,796",0.00484019000281202,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000227201,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000230043,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000201622,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000377836,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000210148,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000275518,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000338046,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000363625,0.00484019000294965,3,7035.63615467754,"108,454,796",0.00484019000386363,0.00484019000294965,3,7035.63615467754
"116,241,369,489,623,744,871",0.005,7,"0,1.65,3.2542,0.7821,2.3975,3.9256,2.4085,0.3272",7012.43726351817,"116,239,361,369,370,372,373,376,378,489,490,492,499,623,731,734,739,745,746,747,812,815,819,842,869,871,874,879,885,954",0.00752510159591718,0.00679950358140139,30,7312.76006604741,"116,239,369,489,623,731,747,871",0.00474423725006494,0.00499733176547369,8,7012.28512669939,"116,239,369,489,623,747,871",0.00447843664960411,0.00454342462712105,7,6997.00902264196,"116,239,369,489,623,747,871",0.00454342462785258,0.00454342462712105,7,6996.74082283818,"116,239,369,489,623,747,871",0.00454342462714204,0.00454342462712105,7,6996.74082283818,"116,239,369,489,623,747,871",0.00454342462745468,0.00454342462712105,7,6996.74082283818,"116,239,369,489,623,747,871",0.0045434246273552,0.00454342462712105,7,6996.74082283818,"116,239,369,489,623,747,871",0.0045434246267015,0.00454342462712105,7,6996.74082283818,"116,239,369,489,623,747,871",0.00454342462709941,0.00454342462712105,7,6996.74082283817,"116,239,369,489,623,747,871",0.00454342462667308,0.00454342462712105,7,6996.74082283818,"116,239,369,489,623,747,871",0.00454342462803733,0.00454342462712105,7,6996.74082283818
"303",0.005,1,"0,1.6466",6955.93673934585,"300,301,303",0.00586002935568687,0.00498648921499636,3,7012.30402584702,"300",0.00508711097287366,0.00500651667320262,1,6950.3611616412,"300",0.00500651667265028,0.00500651667320262,1,6950.04632035121,"300",0.00500651667037654,0.00500651667320262,1,6950.04632035119,"300",0.00500651667469664,0.00500651667320262,1,6950.0463203512,"300",0.00500651667105866,0.00500651667320262,1,6950.0463203512,"300",0.00500651667265028,0.00500651667320262,1,6950.0463203512,"300",0.0050065166776525,0.00500651667320262,1,6950.0463203512,"300",0.00500651667401452,0.00500651667320262,1,6950.04632035121,"300",0.00500651667219553,0.00500651667320262,1,6950.04632035121,"300",0.00500651667196816,0.00500651667320262,1,6950.0463203512
"126,233,342,476,614,755,858",0.005,7,"0,1.5101,-0.6247,0.9387,2.9151,1.2725,-0.8933,0.8336",7047.61372114146,"126,209,231,233,342,345,425,474,475,606,615,625,649,690,754,755,762,857,859,860",0.0070678249668614,0.00540851688504593,20,7240.85694175158,"126,233,342,475,615,754,860",0.00550190013815918,0.00476898167369809,7,7026.14456584994,"126,233,342,475,615,754,860",0.00476898167329264,0.00476898167369809,7,7023.38202039749,"126,233,342,475,615,754,860",0.00476898167454319,0.00476898167369809,7,7023.38202039749,"126,233,342,475,615,754,860",0.00476898167261052,0.00476898167369809,7,7023.38202039748,"126,233,342,475,615,754,860",0.00476898167408844,0.00476898167369809,7,7023.38202039749,"126,233,342,475,615,754,860",0.00476898167397476,0.00476898167369809,7,7023.38202039749,"126,233,342,475,615,754,860",0.00476898167306526,0.00476898167369809,7,7023.38202039749,"126,233,342,475,615,754,860",0.00476898167181471,0.00476898167369809,7,7023.38202039749,"126,233,342,475,615,754,860",0.00476898167283789,0.00476898167369809,7,7023.38202039748,"126,233,342,475,615,754,860",0.004768981675339,0.00476898167369809,7,7023.38202039748
"201,327,451,570,679,861",0.005,6,"0,-1.9253,0.507,2.0122,0.3054,-1.8208,-3.4436",6993.50224032973,"201,327,338,385,389,447,451,458,463,573,679,680,861",0.00155228917922934,0.00648921649153709,13,7174.04877266117,"201,327,451,573,679,861",0.00622629583469637,0.0063871711083175,6,6978.36080246382,"201,327,451,573,679,861",0.00638717111152154,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110958887,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110720144,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110765619,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110776988,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110816778,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110765619,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110953202,0.0063871711083175,6,6978.26416769544,"201,327,451,573,679,861",0.00638717110612142,0.0063871711083175,6,6978.26416769545
"477,712",0.005,2,"0,1.7616,3.8037",6945.18631891329,"478,480,705,712",0.00669055574211532,0.00505940524393197,4,7004.67676941825,"480,712",0.00514617784035669,0.00511122473872244,2,6941.83412107453,"480,712",0.0051112247361551,0.00511122473872244,2,6941.81638001133,"480,712",0.00511122474206682,0.00511122473872244,2,6941.81638001132,"480,712",0.00511122473888359,0.00511122473872244,2,6941.81638001133,"480,712",0.00511122474206682,0.00511122473872244,2,6941.81638001134,"480,712",0.00511122473979308,0.00511122473872244,2,6941.81638001132,"480,712",0.00511122472796965,0.00511122473872244,2,6941.81638001133,"480,712",0.00511122474206682,0.00511122473872244,2,6941.81638001131,"480,712",0.0051112247370646,0.00511122473872244,2,6941.81638001134,"480,712",0.00511122473479086,0.00511122473872244,2,6941.81638001134
"160,318,447,638,831",0.005,5,"0,-1.7292,0.6464,2.4122,4.1836,1.7699",6988.07132580594,"64,128,139,159,160,169,317,318,340,445,447,450,638,828,831,832,836,839",0.00713844745560289,0.00580162700959862,18,7202.34864968691,"160,318,447,638,828,832",0.00529998752984812,0.00518405791315208,6,6992.77258639767,"160,318,447,638,832",0.00523706821372487,0.00502908890774806,5,6983.76228535752,"160,318,447,638,832",0.00502908890844654,0.00502908890774806,5,6982.54676967274,"160,318,447,638,832",0.00502908891003816,0.00502908890774806,5,6982.54676967274,"160,318,447,638,832",0.00502908890480857,0.00502908890774806,5,6982.54676967273,"160,318,447,638,832",0.00502908890605912,0.00502908890774806,5,6982.54676967274,"160,318,447,638,832",0.00502908890833286,0.00502908890774806,5,6982.54676967274,"160,318,447,638,832",0.00502908890662756,0.00502908890774806,5,6982.54676967273,"160,318,447,638,832",0.00502908890503594,0.00502908890774806,5,6982.54676967273,"160,318,447,638,832",0.00502908890583175,0.00502908890774806,5,6982.54676967274
"193,344,529,710,882",0.005,5,"0,-1.7756,0.367,1.9247,3.9853,2.1662",6863.32100784879,"124,189,192,200,344,347,529,706,710,868,882",0.009344086519584,0.00646268719884375,11,7033.45393307037,"189,347,529,706,882",0.00797032583181205,0.00622608535996061,5,6869.86825015221,"189,347,529,706,882",0.00622608536156086,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.00622608535985556,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.00622608536059452,0.00622608535996061,5,6855.98518689504,"189,347,529,706,882",0.00622608536025346,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.00622608536167455,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.0062260853612198,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.0062260853599124,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.00622608535928712,0.00622608535996061,5,6855.98518689505,"189,347,529,706,882",0.00622608535974187,0.00622608535996061,5,6855.98518689505
"232,410,553,683,800",0.005,5,"0,-2.1416,-3.782,-1.5138,0.2681,-1.2598",6979.26340835814,"230,232,234,403,409,410,552,553,570,584,591,600,626,683,699,703,799,801",0.00422246979317487,0.00565489468302648,18,7160.59901658727,"234,410,553,683,801",0.00508091924491253,0.00580687658591797,5,6975.00561987135,"234,410,553,683,801",0.00580687658445707,0.00580687658591797,5,6971.28407760704,"234,410,553,683,801",0.00580687658854979,0.00580687658591797,5,6971.28407760704,"234,410,553,683,801",0.00580687658422969,0.00580687658591797,5,6971.28407760704,"234,410,553,683,801",0.00580687657990959,0.00580687658591797,5,6971.28407760704,"234,410,553,683,801",0.0058068765876403,0.00580687658591797,5,6971.28407760703,"234,410,553,683,801",0.00580687658900454,0.00580687658591797,5,6971.28407760703,"234,410,553,683,801",0.00580687658536656,0.00580687658591797,5,6971.28407760703,"234,410,553,683,801",0.00580687659059615,0.00580687658591797,5,6971.28407760703,"234,410,553,683,801",0.00580687658718555,0.00580687658591797,5,6971.28407760704
