"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"162,417,560,864",-0.005,4,7031.24596556612,"164,417,552,561,562,613,865",-0.00564889530025285,7,7063.06474627154,3,"164,417,562,865",4,-0.00507436531340892,7025.65044,3.004,-0.00564889530025285,0.005
"115,232,362,479,603,720,856",-0.005,7,6997.25002736077,"113,231,362,479,603,717,719,856",-0.0046208844067647,8,6990.27912540901,3,"113,231,362,479,603,717,856",7,-0.00450011156474416,6976.29184,1.004,-0.0046208844067647,0.006
"104,243,365,482,613,741,860",-0.005,7,6993.03413606318,"104,243,365,480,483,608,619,740,741,860",-0.00541918687652317,10,7022.89218656222,3,"104,243,365,483,619,740,860",7,-0.00591727711825061,6988.24667,3.006,-0.00541918687652317,0.008
"181,322,487,754,896",-0.005,5,7024.39555323357,"187,323,487,754,897",-0.0047646647254682,5,7013.75659096354,2,"187,323,487,754,897",5,-0.0047646647254682,7010.87569,0.008,-0.0047646647254682,0.008
"652",-0.005,1,6947.7437922463,"652",-0.0050653967204199,1,6946.11522351478,2,"652",1,-0.0050653967204199,6946.07217,0,-0.0050653967204199,0
"126,265,388,513,644,767,879",-0.005,7,7061.69705104622,"126,269,388,513,644,767,879",-0.00559285078946936,7,7057.23347641103,2,"126,269,388,513,644,767,879",7,-0.00559285078946936,7052.95181,0.004,-0.00559285078946936,0.004
"232,539,789",-0.005,3,7001.25172484252,"233,539,789",-0.00545539745965622,3,6993.59640920708,2,"233,539,789",3,-0.00545539745965622,6992.17058,0.001,-0.00545539745965622,0.001
"103,226,370,517,659,781,890",-0.005,7,7015.89213913964,"104,226,370,517,661,779,890",-0.00469532010794699,7,6999.2435267002,2,"104,226,370,517,661,779,890",7,-0.00469532010794699,6991.26906,0.005,-0.00469532010794699,0.005
"132,279,416,531,638,778,897",-0.005,7,6985.21906307613,"131,279,416,531,637,774,779,897",-0.00565802024008522,8,6983.33931136264,3,"131,279,416,531,637,779,897",7,-0.00587683271302528,6972.98111,1.003,-0.00565802024008522,0.003
"153,277,509,674,812",-0.005,5,6987.68632764114,"153,278,506,663,676,698,812",-0.00548978214734828,7,6979.9545254369,4,"153,278,506,663,812",5,-0.00603103022220297,6965.28935,2.006,-0.00548978214734828,0.015
"565",-0.005,1,6973.79495599534,"567",-0.00483632252753104,1,6965.35534341455,2,"567",1,-0.00483632252753104,6964.67071,0.002,-0.00483632252753104,0.002
