"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"146,313,489,592,698,881",-0.01,6,6937.10362046294,"146,313,489,492,592,698,881",-0.0103049647987942,7,6950.08409865142,3,"146,313,489,592,698,881",6,-0.010233253726292,6932.02229,1,-0.0103049647987942,0
"625",-0.01,1,6881.85313609053,"624",-0.00994196466884358,1,6877.30953039288,2,"624",1,-0.00994196466884358,6877.30934,0.001,-0.00994196466884358,0.001
"198,300,514,766",-0.01,4,6939.88309121226,"198,300,512,516,763",-0.00967127015910928,5,6944.86265162103,3,"198,300,512,763",4,-0.00956537579832391,6933.27042,1.005,-0.00967127015910928,0.005
"214,396,586,781",-0.01,4,6977.31849349705,"214,398,586,781",-0.0100703289357992,4,6970.13599247011,2,"214,398,586,781",4,-0.0100703289357992,6967.03084,0.002,-0.0100703289357992,0.002
"277",-0.01,1,6904.10951708105,"277",-0.00993319632654407,1,6904.37640995129,2,"277",1,-0.00993319632654407,6903.85789,0,-0.00993319632654407,0
"114,260,363,503,621,755,857",-0.01,7,7016.67797823469,"114,260,363,494,506,621,754,853,868",-0.00968207078902558,9,7009.2865183526,3,"114,260,363,506,621,754,853,868",8,-0.00922396925943383,6999.40362,2.008,-0.00968207078902558,1.008
"165,332,468,572,693,828",-0.01,6,7046.30722567694,"155,165,167,198,331,467,572,693,827",-0.0110764031050166,9,7061.25194711121,4,"167,331,467,572,693,827",6,-0.00999421627024542,7030.80557,3.003,-0.0110764031050166,0.005
"258,481,610,879",-0.01,4,6955.64533561409,"258,481,611,878",-0.00993995337184233,4,6949.0597822914,2,"258,481,611,878",4,-0.00993995337184233,6948.64904,0.002,-0.00993995337184233,0.002
"205,331,614,782",-0.01,4,6962.16968176358,"205,331,616,782",-0.00938989454233075,4,6958.7845538541,2,"205,331,616,782",4,-0.00938989454233075,6957.7034,0.002,-0.00938989454233075,0.002
"271,399,641",-0.01,3,6902.61782018178,"271,398,399,641",-0.00980423346294523,4,6913.5453888638,3,"271,399,641",3,-0.00981447443060065,6900.61186,1,-0.00980423346294523,0
