"true_model","true_slope","true_nknots","true_means","bic_true_model","flasso","slope_flasso","slope_OLS_flasso","nknots_flasso","bic_flasso","adaflasso","slope_adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","slope_iter2flasso","slope_OLS_iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","slope_iter3flasso","slope_OLS_iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","slope_iter4flasso","slope_OLS_iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","slope_iter5flasso","slope_OLS_iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","slope_iter6flasso","slope_OLS_iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","slope_iter7flasso","slope_OLS_iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","slope_iter8flasso","slope_OLS_iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","slope_iter9flasso","slope_OLS_iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","slope_iter10flasso","slope_OLS_iter10flasso","nknots_iter10flasso","bic_iter10flasso"
"146,313,489,592,698,881",-0.01,6,"0,1.6719,4.0543,6.4909,8.1395,6.4587,4.3209",6937.10362046294,"145,146,148,158,161,313,315,484,489,492,592,698,730,850,881,887,925",-0.00779592320810151,-0.0107860704321793,17,7098.68705915347,"146,313,489,492,592,698,881",-0.00884339260573562,-0.0103049647987942,7,6950.08409865142,"146,313,489,592,698,881",-0.00994752410660805,-0.010233253726292,6,6932.28214215403,"146,313,489,592,698,881",-0.0102332537274299,-0.010233253726292,6,6932.02228745446,"146,313,489,592,698,881",-0.0102332537245877,-0.010233253726292,6,6932.02228745446,"146,313,489,592,698,881",-0.0102332537265204,-0.010233253726292,6,6932.02228745446,"146,313,489,592,698,881",-0.0102332537249287,-0.010233253726292,6,6932.02228745447,"146,313,489,592,698,881",-0.0102332537264067,-0.010233253726292,6,6932.02228745447,"146,313,489,592,698,881",-0.0102332537254972,-0.010233253726292,6,6932.02228745446,"146,313,489,592,698,881",-0.0102332537268614,-0.010233253726292,6,6932.02228745445,"146,313,489,592,698,881",-0.0102332537277709,-0.010233253726292,6,6932.02228745446
"625",-0.01,1,"0,2.1591",6881.85313609053,"624,625",-0.00925965278170684,-0.00994560528155069,2,6908.12624518136,"624",-0.00993971316866444,-0.00994196466884358,1,6877.30953039288,"624",-0.00994196466742112,-0.00994196466884358,1,6877.3093427099,"624",-0.00994196466776218,-0.00994196466884358,1,6877.3093427099,"624",-0.00994196466514738,-0.00994196466884358,1,6877.30934270991,"624",-0.00994196467077488,-0.00994196466884358,1,6877.3093427099,"624",-0.00994196467032013,-0.00994196466884358,1,6877.3093427099,"624",-0.00994196466287364,-0.00994196466884358,1,6877.30934270991,"624",-0.0099419646675348,-0.00994196466884358,1,6877.3093427099,"624",-0.00994196467134331,-0.00994196466884358,1,6877.30934270989,"624",-0.00994196466838746,-0.00994196466884358,1,6877.3093427099
"198,300,514,766",-0.01,4,"0,-2.1281,-4.1969,-2.0669,-3.5893",6939.88309121226,"196,198,199,300,512,514,516,763,766",-0.011435771074652,-0.00958312356814673,9,7033.70976963148,"198,300,512,516,763",-0.0098889398139206,-0.00967127015910928,5,6944.86265162103,"198,300,512,763",-0.00975191974173138,-0.00956537579832391,4,6933.7384326855,"198,300,512,763",-0.00956537580061738,-0.00956537579832391,4,6933.27042328876,"198,300,512,763",-0.00956537579709308,-0.00956537579832391,4,6933.27042328874,"198,300,512,763",-0.00956537579800258,-0.00956537579832391,4,6933.27042328875,"198,300,512,763",-0.00956537579857101,-0.00956537579832391,4,6933.27042328875,"198,300,512,763",-0.00956537580004894,-0.00956537579832391,4,6933.27042328875,"198,300,512,763",-0.0095653757977752,-0.00956537579832391,4,6933.27042328874,"198,300,512,763",-0.00956537579948051,-0.00956537579832391,4,6933.27042328875,"198,300,512,763",-0.00956537579970788,-0.00956537579832391,4,6933.27042328876
"214,396,586,781",-0.01,4,"0,1.7624,-0.0063,2.1687,0.0344",6977.31849349705,"173,214,392,393,398,399,432,582,585,586,588,590,781,784,786",-0.0102563544659579,-0.0100908639083187,15,7148.54751197767,"214,398,586,781",-0.0100226345986275,-0.0100703289357992,4,6970.13599247011,"214,398,586,781",-0.0100703289336826,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289360131,-0.0100703289357992,4,6967.03083700374,"214,398,586,781",-0.0100703289356152,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289335689,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289369226,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289356152,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289339099,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289370932,-0.0100703289357992,4,6967.03083700375,"214,398,586,781",-0.0100703289351036,-0.0100703289357992,4,6967.03083700374
"277",-0.01,1,"0,-1.6055",6904.10951708105,"276,277,279,284",-0.0101758243752037,-0.00988918735186439,4,6947.42017877407,"277",-0.0100282029568067,-0.00993319632654407,1,6904.37640995129,"277",-0.00993319632842658,-0.00993319632654407,1,6903.85788570795,"277",-0.00993319632717603,-0.00993319632654407,1,6903.85788570797,"277",-0.00993319632603916,-0.00993319632654407,1,6903.85788570797,"277",-0.009933196326096,-0.00993319632654407,1,6903.85788570795,"277",-0.00993319632603916,-0.00993319632654407,1,6903.85788570796,"277",-0.00993319632586863,-0.00993319632654407,1,6903.85788570796,"277",-0.00993319632649391,-0.00993319632654407,1,6903.85788570796,"277",-0.00993319632723287,-0.00993319632654407,1,6903.85788570795,"277",-0.00993319632706234,-0.00993319632654407,1,6903.85788570795
"114,260,363,503,621,755,857",-0.01,7,"0,1.8143,0.1575,-2.046,-0.3075,1.8363,4.1287,1.7378",7016.67797823469,"106,114,240,260,268,282,286,301,314,345,363,494,506,507,602,621,670,680,754,755,853,857,859,861,868,885,892,903",-0.00746624251874218,-0.00972124482054467,28,7295.20427152724,"114,260,363,494,506,621,754,853,868",-0.00907336612572223,-0.00968207078902558,9,7009.2865183526,"114,260,363,506,621,754,853,868",-0.00901420687686978,-0.00922396925943383,8,7000.65757220429,"114,260,363,506,621,754,853,868",-0.00922396925945626,-0.00922396925943383,8,6999.40361682992,"114,260,363,506,621,754,853,868",-0.00922396925843307,-0.00922396925943383,8,6999.40361682992,"114,260,363,506,621,754,853,868",-0.00922396925928573,-0.00922396925943383,8,6999.40361682993,"114,260,363,506,621,754,853,868",-0.00922396926218474,-0.00922396925943383,8,6999.40361682993,"114,260,363,506,621,754,853,868",-0.00922396926133209,-0.00922396925943383,8,6999.40361682993,"114,260,363,506,621,754,853,868",-0.00922396926076365,-0.00922396925943383,8,6999.40361682993,"114,260,363,506,621,754,853,868",-0.00922396925866045,-0.00922396925943383,8,6999.40361682992,"114,260,363,506,621,754,853,868",-0.00922396925939941,-0.00922396925943383,8,6999.40361682992
"165,332,468,572,693,828",-0.01,6,"0,2.4167,0.7988,2.5626,0.419,-1.154,-3.4761",7046.30722567694,"148,155,157,158,165,166,167,170,171,178,198,206,331,467,572,573,574,693,696,827,828",-0.0154876488509189,-0.0110681252244474,21,7349.06696047673,"155,165,167,198,331,467,572,693,827",-0.0119541592217435,-0.0110764031050166,9,7061.25194711121,"155,167,198,331,467,572,693,827",-0.0117873677407885,-0.0110722323587189,8,7056.86491346828,"167,331,467,572,693,827",-0.0107896788195649,-0.00999421627024542,6,7033.4384560824,"167,331,467,572,693,827",-0.00999421626843027,-0.00999421627024542,6,7030.80556641593,"167,331,467,572,693,827",-0.00999421626933976,-0.00999421627024542,6,7030.80556641594,"167,331,467,572,693,827",-0.00999421627184087,-0.00999421627024542,6,7030.80556641592,"167,331,467,572,693,827",-0.00999421626865764,-0.00999421627024542,6,7030.80556641593,"167,331,467,572,693,827",-0.00999421627047663,-0.00999421627024542,6,7030.80556641592,"167,331,467,572,693,827",-0.00999421627206825,-0.00999421627024542,6,7030.80556641594,"167,331,467,572,693,827",-0.00999421626979451,-0.00999421627024542,6,7030.80556641594
"258,481,610,879",-0.01,4,"0,2.1283,4.5405,2.7163,4.6649",6955.64533561409,"257,258,481,610,611,644,675,878",-0.00645778431827749,-0.0097238140226753,8,7097.88338660201,"258,481,611,878",-0.00975392766584306,-0.00993995337184233,4,6949.0597822914,"258,481,611,878",-0.00993995337115473,-0.00993995337184233,4,6948.64903715497,"258,481,611,878",-0.00993995337087051,-0.00993995337184233,4,6948.64903715498,"258,481,611,878",-0.00993995337143894,-0.00993995337184233,4,6948.64903715498,"258,481,611,878",-0.00993995337052945,-0.00993995337184233,4,6948.64903715497,"258,481,611,878",-0.0099399533739969,-0.00993995337184233,4,6948.64903715497,"258,481,611,878",-0.00993995337206422,-0.00993995337184233,4,6948.64903715498,"258,481,611,878",-0.00993995337484955,-0.00993995337184233,4,6948.64903715498,"258,481,611,878",-0.00993995337274634,-0.00993995337184233,4,6948.64903715497,"258,481,611,878",-0.00993995337212106,-0.00993995337184233,4,6948.64903715498
"205,331,614,782",-0.01,4,"0,-1.9784,-4.1203,-2.3306,-3.8736",6962.16968176358,"204,205,206,214,331,512,513,579,593,604,613,615,616,779,782",-0.0113392343148177,-0.00967358928611952,15,7129.62463898909,"205,331,616,782",-0.00964427638997709,-0.00938989454233075,4,6958.7845538541,"205,331,616,782",-0.00938989454666573,-0.00938989454233075,4,6957.70339705802,"205,331,616,782",-0.00938989454200457,-0.00938989454233075,4,6957.70339705803,"205,331,616,782",-0.00938989453774131,-0.00938989454233075,4,6957.70339705804,"205,331,616,782",-0.00938989454092454,-0.00938989454233075,4,6957.70339705803,"205,331,616,782",-0.0093898945455857,-0.00938989454233075,4,6957.70339705802,"205,331,616,782",-0.00938989454513095,-0.00938989454233075,4,6957.70339705802,"205,331,616,782",-0.00938989454035611,-0.00938989454233075,4,6957.70339705802,"205,331,616,782",-0.00938989454240247,-0.00938989454233075,4,6957.70339705803,"205,331,616,782",-0.00938989454001505,-0.00938989454233075,4,6957.70339705803
"271,399,641",-0.01,3,"0,-1.6642,-3.7329,-1.6526",6902.61782018178,"271,277,382,388,397,398,399,402,640,641,644,660",-0.0103657718961627,-0.0099074761173696,12,7053.74406909954,"271,398,399,641",-0.00986580208328227,-0.00980423346294523,4,6913.5453888638,"271,399,641",-0.00988210150940695,-0.00981447443060065,3,6900.77915658665,"271,399,641",-0.00981447443083065,-0.00981447443060065,3,6900.61185794533,"271,399,641",-0.00981447443083065,-0.00981447443060065,3,6900.61185794531,"271,399,641",-0.00981447442764742,-0.00981447443060065,3,6900.61185794533,"271,399,641",-0.00981447443174015,-0.00981447443060065,3,6900.61185794532,"271,399,641",-0.0098144744278748,-0.00981447443060065,3,6900.61185794533,"271,399,641",-0.00981447443196752,-0.00981447443060065,3,6900.61185794531,"271,399,641",-0.00981447442969379,-0.00981447443060065,3,6900.61185794533,"271,399,641",-0.0098144744312854,-0.00981447443060065,3,6900.61185794532
