"true_model","true_nknots","bic_true_model","true.season","flasso","nknots_flasso","bic_flasso","season_flasso","adaflasso","nknots_adaflasso","bic_adaflasso","season_adaflasso","iter2flasso","nknots_iter2flasso","bic_iter2flasso","season_iter2flasso","iter3flasso","nknots_iter3flasso","bic_iter3flasso","season_iter3flasso","iter4flasso","nknots_iter4flasso","bic_iter4flasso","season_iter4flasso","iter5flasso","nknots_iter5flasso","bic_iter5flasso","season_iter5flasso","iter6flasso","nknots_iter6flasso","bic_iter6flasso","season_iter6flasso"
"301,601,901",3,100.486986587447,"0.55851228444957,0.191406306276833,-0.490612180349938,-0.469977415865838,0.511972112297313,-1.18870034965108,-1.91149125107882,-1.04325465603111,1.61142505406066,0.910709410733025,0.71032644176509,0.609684243394294","301,303,310,576,598,601,602,608,609,901",10,192.557086577099,"0.539811522204917,0.355259437565741,-0.60139397264895,-0.308988791736377,0.360243873246835,-1.10705991236423,-2.05196403609184,-0.875782406088618,1.64140574872027,0.824810383362558,0.704027365496588","301,601,901",3,92.007743118916,"0.538997324266442,0.350219607623771,-0.598754841383951,-0.306349660471398,0.362883004511889,-1.10442078109929,-2.04932490482686,-0.873191223913385,1.6398108463546,0.82254110467245,0.701758086806445","301,601,901",3,90.8052800764817,"0.538997324266441,0.350219607623776,-0.598754841383953,-0.306349660471436,0.362883004511882,-1.1044207810993,-2.04932490482686,-0.873191223913389,1.63981084635463,0.822541104672475,0.70175808680644","301,601,901",3,90.8052800764836,"0.538997324266438,0.350219607623768,-0.598754841383989,-0.30634966047138,0.362883004511872,-1.1044207810993,-2.04932490482684,-0.873191223913392,1.6398108463546,0.822541104672483,0.701758086806445","301,601,901",3,90.8052800764836,"0.538997324266439,0.350219607623768,-0.598754841383937,-0.306349660471407,0.362883004511842,-1.10442078109932,-2.04932490482684,-0.873191223913378,1.63981084635463,0.822541104672466,0.701758086806447","301,601,901",3,90.8052800764838,"0.538997324266459,0.350219607623775,-0.598754841383966,-0.306349660471423,0.362883004511891,-1.10442078109931,-2.04932490482686,-0.873191223913399,1.63981084635461,0.822541104672453,0.701758086806469","301,601,901",3,90.8052800764829,"0.538997324266443,0.350219607623772,-0.598754841383973,-0.3063496604714,0.362883004511875,-1.1044207810993,-2.04932490482686,-0.873191223913401,1.63981084635463,0.822541104672453,0.701758086806457"
"301,601,901",3,101.193196513453,"-0.434139207722808,0.248621462355879,-1.40849239812299,-1.43873194250494,-2.08003743292233,-1.91433763734573,-0.408461608808734,0.886918807623054,1.4881131774189,2.48390898719179,2.44143706897731,0.135200723860599","299,301,305,569,595,601,895,901,904,932",10,199.141523632349,"-0.601877814676825,0.377689799872667,-1.34682642163938,-1.34230658015137,-2.18211589581865,-1.95250906072041,-0.477324745489887,0.915792844071008,1.70355975140039,2.43223112556274,2.31894894926608","301,601,901",3,90.5613986245276,"-0.605286910729413,0.37428070382009,-1.35023551769201,-1.3431170759311,-2.18226145927695,-1.95265462417892,-0.477246997576674,0.916583729596122,1.70435063692522,2.43302201108784,2.32338820244913","301,601,901",3,89.4989757887892,"-0.6052869107294,0.374280703820078,-1.35023551769197,-1.3431170759311,-2.18226145927696,-1.95265462417884,-0.477246997576656,0.916583729596006,1.70435063692525,2.43302201108793,2.32338820244913","301,601,901",3,89.4989757887948,"-0.605286910729412,0.374280703820115,-1.35023551769203,-1.34311707593107,-2.18226145927695,-1.95265462417889,-0.477246997576701,0.916583729596038,1.70435063692524,2.43302201108792,2.32338820244917","301,601,901",3,89.4989757887962,"-0.605286910729448,0.374280703820086,-1.35023551769199,-1.34311707593104,-2.182261459277,-1.95265462417886,-0.477246997576699,0.916583729596025,1.70435063692527,2.43302201108792,2.32338820244919","301,601,901",3,89.4989757887901,"-0.605286910729437,0.374280703820055,-1.35023551769191,-1.34311707593106,-2.18226145927701,-1.95265462417892,-0.477246997576626,0.916583729596029,1.70435063692526,2.43302201108791,2.32338820244913","301,601,901",3,89.4989757887955,"-0.605286910729414,0.37428070382007,-1.35023551769204,-1.34311707593108,-2.18226145927701,-1.95265462417883,-0.477246997576682,0.916583729596044,1.7043506369253,2.43302201108786,2.32338820244916"
"301,601,901",3,153.990371731132,"0.40530618484869,0.689665216195822,0.807975536570131,0.391935100518606,0.911713998364819,-0.0112820801435544,-1.26131336438362,-1.20249155102599,0.222826960234416,-0.757409958398268,0.271251942785858,-0.468177985566909","301,602,900,902,903",5,224.355502141825,"0.368210635267467,0.597979416625638,0.794550074071594,0.223368436782134,0.907763349506927,-0.151122335964866,-1.23739441142386,-1.12212963988007,0.419722160532557,-0.698842115207706,0.501754049378173","301,602,902",3,129.828920940956,"0.369845989266994,0.596984102871293,0.794131741677667,0.222950104388266,0.907345017113107,-0.15154066835885,-1.23781274381779,-1.12254797227417,0.419303828138302,-0.699260447601759,0.501335716984125","301,602,902",3,129.821004506823,"0.3698342287463,0.59698517200954,0.794132810815919,0.222951173526504,0.90734608625131,-0.151539599220666,-1.23781167467952,-1.1225469031359,0.419304897276512,-0.69925937846351,0.501336786122453","301,602,902",3,129.821004506822,"0.369834228746282,0.596985172009536,0.79413281081591,0.222951173526508,0.907346086251335,-0.15153959922065,-1.23781167467956,-1.12254690313592,0.419304897276559,-0.699259378463521,0.501336786122441","301,602,902",3,129.821004506823,"0.369834228746287,0.59698517200954,0.794132810815868,0.222951173526533,0.907346086251334,-0.151539599220661,-1.23781167467955,-1.12254690313589,0.419304897276598,-0.699259378463524,0.5013367861224","301,602,902",3,129.821004506823,"0.369834228746278,0.59698517200954,0.794132810815895,0.222951173526521,0.907346086251291,-0.151539599220665,-1.23781167467951,-1.12254690313587,0.419304897276555,-0.699259378463529,0.501336786122454","301,602,902",3,129.821004506823,"0.369834228746259,0.596985172009551,0.794132810815924,0.222951173526549,0.907346086251301,-0.151539599220645,-1.23781167467956,-1.12254690313592,0.419304897276568,-0.6992593784635,0.501336786122395"
"301,601,901",3,54.542369749396,"-0.809468577775909,-0.754964857400027,0.464251841053478,-0.147791330646152,0.536682831825348,0.57933865381722,1.31216072528821,0.455853990651308,0.469883771420061,-0.551936693142798,-1.13083811571763,-0.423172239373114","299,301,601,604,897,900,901,905,907",9,179.594426554039,"-0.885991570383078,-0.741012477680256,0.530100781111659,-0.256431940364757,0.403176935851272,0.692388591764133,1.36274305469695,0.508076737922671,0.382296113673078,-0.493610035461606,-1.09630400932861","301,601,901,907",4,68.684157868961,"-0.883513658664058,-0.738534565961112,0.532578692830804,-0.256217865741803,0.405858921748934,0.69507057766166,1.35731209323303,0.502645776458805,0.380321750198264,-0.495584398936069,-1.09701971963149","301,601,907",3,60.9949647926674,"-0.879787007163996,-0.734807914460995,0.536305344330815,-0.252491214241746,0.409585573249067,0.698797229161745,1.35358544173305,0.498919124958679,0.376595098698175,-0.499311050436195,-1.10074637113155","301,601,907",3,59.1139835249047,"-0.879367326858843,-0.734388234155891,0.536725024635978,-0.252071533936549,0.410005253554226,0.699216909466932,1.35316576142789,0.49849944465351,0.376175418393029,-0.499730730741356,-1.10116605143671","301,601,907",3,59.1139835249067,"-0.8793673268588,-0.734388234155845,0.536725024635987,-0.252071533936555,0.410005253554238,0.699216909466923,1.35316576142788,0.498499444653544,0.376175418392991,-0.499730730741368,-1.10116605143676","301,601,907",3,59.1139835249054,"-0.879367326858846,-0.734388234155874,0.53672502463601,-0.252071533936556,0.410005253554246,0.699216909466945,1.35316576142784,0.49849944465353,0.376175418393027,-0.499730730741374,-1.10116605143676","301,601,907",3,59.113983524904,"-0.879367326858807,-0.734388234155913,0.536725024635981,-0.25207153393658,0.41000525355423,0.699216909466955,1.35316576142785,0.498499444653502,0.376175418393056,-0.499730730741306,-1.10116605143674"
"301,601,901",3,153.035992341894,"0.540656840721608,-1.05472952417128,-0.234775672322416,-1.75707370730164,-0.474520094000671,-1.40114354103774,-1.39344668284474,0.489124908819904,0.546098632691917,2.35217289613647,1.22265003669814,1.16498590661044","231,300,301,591,598,599,616,900,901,903,906,909",12,307.137868632505,"0.493684670555498,-1.03324405221202,-0.121881564761411,-1.70758317300731,-0.498291637701012,-1.46475524237177,-1.47800772782351,0.599004680279785,0.48390561357637,2.24944943907972,1.26334021121087","301,599,901",3,137.103573931654,"0.492136307317519,-1.03479241544986,-0.121788033468444,-1.70954844387267,-0.500256908566275,-1.46597798858597,-1.4792304740376,0.597781934065613,0.483635012898525,2.24354336304668,1.27121086852725","301,599,901",3,136.395611383471,"0.49202784076648,-1.0349008820009,-0.121896500019497,-1.70965691042372,-0.500365375117308,-1.46608645513699,-1.47933894058862,0.597673467514589,0.483526546347413,2.24343489649558,1.27175320128251","301,599,901",3,136.39561138347,"0.492027840766514,-1.03490088200089,-0.121896500019439,-1.7096569104237,-0.500365375117357,-1.46608645513694,-1.47933894058868,0.597673467514543,0.483526546347437,2.24343489649559,1.27175320128246","301,599,901",3,136.39561138347,"0.492027840766526,-1.03490088200091,-0.121896500019485,-1.70965691042374,-0.500365375117308,-1.46608645513696,-1.47933894058869,0.597673467514522,0.483526546347475,2.24343489649561,1.27175320128245","301,599,901",3,136.395611383469,"0.49202784076651,-1.03490088200086,-0.121896500019487,-1.70965691042373,-0.500365375117326,-1.46608645513699,-1.47933894058871,0.597673467514596,0.483526546347416,2.24343489649559,1.27175320128248","301,599,901",3,136.395611383471,"0.492027840766515,-1.03490088200087,-0.121896500019498,-1.70965691042372,-0.500365375117313,-1.46608645513696,-1.47933894058868,0.597673467514557,0.483526546347429,2.24343489649556,1.27175320128249"
"301,601,901",3,150.309128356111,"-0.234445248847701,0.489433885908801,0.167306366368669,0.713946069332471,0.314653396059086,0.443153511055356,0.205280945900283,-0.559830803142527,-0.508954629125005,-0.175343203007609,-0.597180293927377,-0.258019996574449","301,304,601,604,606,896,901",7,229.069747733118,"-0.323616560844938,0.433395411579546,0.167498485302675,0.712121285055588,0.272007192569836,0.526220441924758,0.125505321936573,-0.633612758912406,-0.391110351270973,-0.140150501036809,-0.662847573278626","301,601,606,901",4,149.989004633948,"-0.32677094861662,0.430241023807932,0.164344097531076,0.707954904861824,0.267840812376155,0.525943371543609,0.125228251555711,-0.62994274601951,-0.387440338378321,-0.136480488143745,-0.659177560385678","301,601,606,901",4,149.901353300437,"-0.326867556202252,0.430144416222223,0.164247489945452,0.707858297276197,0.267744204790511,0.52601237696203,0.125297256973997,-0.629873740601209,-0.387371332960067,-0.136411482725458,-0.659108554967306","301,601,606,901",4,149.901353300436,"-0.326867556202273,0.430144416222289,0.164247489945391,0.707858297276119,0.267744204790476,0.52601237696197,0.125297256974019,-0.629873740601133,-0.38737133296005,-0.136411482725406,-0.659108554967322","301,601,606,901",4,149.901353300435,"-0.326867556202272,0.430144416222266,0.164247489945413,0.707858297276138,0.267744204790501,0.526012376962052,0.125297256974085,-0.629873740601202,-0.387371332960033,-0.1364114827255,-0.659108554967369","301,601,606,901",4,149.901353300434,"-0.326867556202276,0.430144416222279,0.164247489945477,0.70785829727612,0.267744204790489,0.526012376962057,0.125297256973986,-0.629873740601203,-0.387371332959998,-0.136411482725424,-0.659108554967386","301,601,606,901",4,149.901353300438,"-0.326867556202218,0.430144416222281,0.164247489945431,0.707858297276131,0.26774420479051,0.526012376961932,0.125297256974043,-0.629873740601176,-0.387371332960041,-0.136411482725481,-0.659108554967417"
"301,601,901",3,59.7450773956457,"-0.291565788871681,0.0176342745461711,0.0867685145533175,-0.809776954576651,-1.50090762825846,-1.6583051674311,-0.68940032902827,0.919690434255667,-0.549143017599661,1.59509257241328,1.20108488622226,1.67882820377512","293,296,297,299,301,570,586,588,598,599,601,602,897,898,901,934",16,223.858445383661,"-0.203438315646331,0.0559875253152315,0.123802556833317,-0.700378686728473,-1.47622218645091,-1.51868202069302,-0.661473020935997,0.770296868216828,-0.636023245437983,1.45795474977846,1.01955825384437","301,598,898,901",4,56.847638466431,"-0.208224050077816,0.0490184379805079,0.116833469498596,-0.7073477740632,-1.48084407237186,-1.52404215908555,-0.666833159328572,0.769345678875706,-0.635792807787165,1.47230467662078,1.03459392769406","301,598,901",3,43.6183508012547,"-0.210169814161753,0.0470726738965697,0.114887705414689,-0.709293538147154,-1.48278983645584,-1.52598792316948,-0.668778923412492,0.767399914791711,-0.637738571871085,1.47814196887261,1.04043121994589","301,598,901",3,43.3316740331279,"-0.210261648429128,0.0469808396292191,0.114795871147276,-0.709385372414507,-1.4828816707232,-1.52607975743687,-0.668870757679855,0.767308080524347,-0.637830406138454,1.47841747167473,1.04070672274801","301,598,901",3,43.3316740331289,"-0.210261648429133,0.0469808396292331,0.114795871147282,-0.709385372414508,-1.48288167072321,-1.52607975743689,-0.668870757679853,0.767308080524358,-0.637830406138458,1.47841747167475,1.040706722748","301,598,901",3,43.3316740331279,"-0.210261648429123,0.046980839629213,0.114795871147293,-0.709385372414511,-1.48288167072319,-1.52607975743688,-0.668870757679847,0.767308080524322,-0.637830406138485,1.47841747167474,1.04070672274802","301,598,901",3,43.3316740331289,"-0.210261648429161,0.0469808396292182,0.114795871147308,-0.709385372414507,-1.4828816707232,-1.52607975743688,-0.668870757679857,0.767308080524355,-0.637830406138466,1.47841747167471,1.04070672274804"
"301,601,901",3,125.991701089843,"-0.216689262472,-0.81164161101747,-1.80672856664252,-0.793777664546604,-0.743383494404581,-0.239126373387316,0.453740994523402,1.66960652413408,1.24406660599081,0.808798752527339,0.499079933656104,-0.0639458383612462","298,301,302,601,604,893,896,902,904,943",10,253.96513521485,"-0.298848327209374,-0.917494948153662,-1.70880812179543,-0.840453407599389,-0.70183878163098,-0.2810980492968,0.626124383955647,1.63078076201082,1.30032049201745,0.846841896875825,0.532358142405572","301,601,893,943",4,118.369733760945,"-0.293919971382817,-0.908727265026854,-1.70004043866858,-0.836576753501142,-0.706301205002747,-0.285560472668792,0.621483061343822,1.62672852763671,1.29626825764295,0.845285317517823,0.530801563047537","301,601,893,943",4,115.001145088227,"-0.293641025734445,-0.908448319378512,-1.69976149302021,-0.836297807852679,-0.704687514741743,-0.283946782407746,0.62075920082454,1.62600466711744,1.29554439712371,0.844561456998548,0.53007770252824","301,601,893,943",4,115.001145088226,"-0.293641025734487,-0.90844831937848,-1.69976149302023,-0.836297807852683,-0.704687514741695,-0.283946782407742,0.620759200824511,1.62600466711744,1.29554439712373,0.844561456998549,0.530077702528224","301,601,893,943",4,115.001145088227,"-0.293641025734492,-0.908448319378501,-1.69976149302025,-0.83629780785264,-0.704687514741668,-0.283946782407774,0.620759200824508,1.62600466711743,1.29554439712372,0.844561456998574,0.530077702528218","301,601,893,943",4,115.001145088228,"-0.293641025734469,-0.908448319378502,-1.69976149302023,-0.83629780785269,-0.70468751474172,-0.283946782407764,0.620759200824526,1.62600466711744,1.29554439712371,0.844561456998586,0.530077702528239","301,601,893,943",4,115.001145088227,"-0.293641025734482,-0.90844831937849,-1.69976149302023,-0.836297807852647,-0.704687514741709,-0.283946782407757,0.620759200824566,1.6260046671174,1.2955443971237,0.844561456998553,0.530077702528232"
"301,601,901",3,23.1085358610885,"1.69163995799603,1.44139140509556,1.37113727213226,0.986510135822959,0.741178618806214,-0.730708594597441,-2.13327912112617,-1.07786568522557,-1.07197472545387,-1.6405870875729,-1.0714248436704,1.49398266779333","299,301,310,594,601,616,901,902,915,919",10,192.683653979656,"1.85413291918099,1.40374598156002,1.38453355196256,0.987712029894655,0.784083486505388,-0.839012643450124,-2.18462842264991,-1.21160397038126,-1.10525076764115,-1.72531171679449,-0.93000458057041","301,601,901",3,17.3445638567088,"1.85080968285283,1.40385803955365,1.38494231020638,0.98698646645732,0.783357923068138,-0.841311454180033,-2.18604295620712,-1.2130185039385,-1.10666530119871,-1.7239643429691,-0.925280288299428","301,601,901",3,17.179694721821,"1.85080968285281,1.40385803955371,1.38494231020638,0.986986466457345,0.78335792306811,-0.841311454180021,-2.18604295620713,-1.21301850393853,-1.1066653011986,-1.72396434296916,-0.925280288299447","301,601,901",3,17.1796947218195,"1.85080968285283,1.40385803955368,1.38494231020644,0.986986466457386,0.783357923068116,-0.84131145418002,-2.18604295620718,-1.21301850393857,-1.10666530119862,-1.72396434296915,-0.925280288299429","301,601,901",3,17.1796947218255,"1.85080968285284,1.40385803955371,1.38494231020636,0.986986466457366,0.783357923068173,-0.841311454180063,-2.18604295620713,-1.21301850393855,-1.10666530119863,-1.72396434296912,-0.925280288299485","301,601,901",3,17.1796947218184,"1.8508096828528,1.40385803955374,1.38494231020636,0.986986466457318,0.783357923068129,-0.841311454180027,-2.18604295620709,-1.21301850393853,-1.10666530119862,-1.72396434296921,-0.925280288299436","301,601,901",3,17.17969472182,"1.85080968285281,1.40385803955375,1.38494231020641,0.986986466457379,0.7833579230681,-0.841311454180006,-2.18604295620713,-1.21301850393862,-1.10666530119861,-1.72396434296915,-0.925280288299466"
"301,601,901",3,176.781067215532,"-2.10030550848122,0.242758145892016,1.36259693439384,1.83602998725235,1.20509519013967,1.72096215549437,0.903048005642241,0.483861683489705,0.254692030975111,-1.76360820540507,-1.63852865405839,-2.50660176533463","300,301,320,339,600,601,889,896,898,901,905,918",12,297.170683797343,"-2.14377200662071,0.393796738865373,1.49484568057471,1.89031998032757,1.06144671150705,1.70800624334905,0.84722401552073,0.590453903730172,0.353204238654851,-1.90948930805925,-1.77470412002494","300,601,889,901,905",5,183.541666090561,"-2.14558151121124,0.391987234274871,1.49499870664798,1.89047300640085,1.06000788539826,1.70834815509022,0.847565927262005,0.593164946185253,0.355915281109796,-1.9058638130745,-1.7710786250403","300,601,889,901",4,172.411697458993,"-2.14969316496711,0.387875580519015,1.49088705289211,1.88636135264499,1.06203727354165,1.71037754323353,0.84959531540539,0.595194334328599,0.357944669253245,-1.90383442493105,-1.769049236897","300,601,901",3,164.56656319823,"-2.14970499002715,0.387863755458977,1.49087522783208,1.88634952758491,1.0620254484816,1.71036571817351,0.849583490345312,0.59518250926857,0.357932844193121,-1.90384624999114,-1.76906106195696","300,601,901",3,163.165582150152,"-2.14965549811929,0.387913247366779,1.49092471973989,1.88639901949275,1.06207494038938,1.7104152100813,0.849632982253128,0.595232001176428,0.357982336100913,-1.9037967580833,-1.76901157004918","300,601,901",3,163.165582150156,"-2.14965549811927,0.387913247366822,1.49092471973988,1.88639901949278,1.06207494038934,1.71041521008135,0.849632982253146,0.595232001176404,0.357982336100933,-1.90379675808333,-1.7690115700492","300,601,901",3,163.165582150155,"-2.1496554981193,0.387913247366779,1.49092471973989,1.88639901949276,1.06207494038942,1.71041521008136,0.849632982253116,0.595232001176398,0.357982336100925,-1.90379675808336,-1.76901157004916"
