"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"252,502,752",75.9853080688035,"250,493,741",9.81021652493368,"241,493,753",87.0601374311141,"241,493,753",75.9853080688035,1,"241,493,753",75.98531,0.022,0.021,0.021,0.021
"252,502,752",127.537483074485,"256,509,756",118.113911029547,"247,508,760,776",157.735470945903,"247,508,760",118.920358532346,1,"247,508,760",118.92036,0.015,1.019,0.019,0.019
"252,502,752",83.0106725703819,"263,506,742",73.8189281558279,"253,505,748",101.4882347265,"253,505,748",76.0298477472053,1,"253,505,748",76.02985,0.025,0.008,0.008,0.008
"252,502,752",101.305693762123,"251,495,752",99.1716308916563,"245,496,752,764",136.928860116255,"245,496,752",99.6458275281443,2,"245,496,752",99.64573,0.008,1.013,0.013,0.013
"252,502,752",165.849800986894,"254,482,761",159.674072237326,"244,480,503,760,774",216.327583977618,"244,503,760",162.687798463132,2,"244,503,760",161.25985,0.031,2.017,0.017,0.017
"252,502,752",114.668587234823,"247,505,756",110.660123288423,"243,486,539,754,770",153.011681876309,"243,486,539,754",127.641779412205,6,"243,539,754",113.97161,0.012,2.027,1.027,0.048
"252,502,752",106.912236858521,"233,534,738",86.8835938689583,"229,509,528,749,778",144.900061424845,"229,528,749",87.6624394077748,2,"229,528,749",87.66241,0.065,2.033,0.052,0.052
"252,502,752",137.759509408065,"242,509,753",131.984035134707,"230,505,760",176.483792892017,"230,505,760",133.768760633298,1,"230,505,760",133.76876,0.018,0.033,0.033,0.033
"252,502,752",113.495997533396,"235,495,746",99.377865704174,"233,493,755",115.598329497877,"233,493,755",99.9364452036765,1,"233,493,755",99.93645,0.03,0.031,0.031,0.031
"252,502,752",75.9853080688035,"239,502,745",-6.43921404961129,"231,500,752",75.9853080688035,"231,500,752",75.9853080688035,1,"231,500,752",75.98531,0.02,0.023,0.023,0.023
"252,502,752",75.9853080688035,"260,501,753",54.4088368767725,"235,256,500,511,760",118.201507758559,"256,500,760",75.9853080688035,1,"256,500,760",75.98531,0.01,2.014,0.014,0.014
"252,502,752",83.0922260698065,"252,505,750",81.3946050628738,"206,253,483,513,752",125.997734973904,"253,513,752",83.3294470239783,2,"253,513,752",82.8198,0.005,2.012,0.012,0.012
"252,502,752",75.9853080688035,"249,493,763",-57.8710185756824,"236,497,776",79.1082643064699,"236,497,776",75.9853080688035,1,"236,497,776",75.98531,0.023,0.045,0.045,0.045
"252,502,752",75.9853080688035,"248,498,758",30.7105994225985,"242,497,521,763",96.7085739057499,"242,497,763",75.9853080688035,1,"242,497,763",75.98531,0.014,1.026,0.026,0.026
"252,502,752",75.9853080688035,"260,510,766",58.1488369497407,"243,257,510,768",105.023427616474,"243,510,768",75.9853080688035,1,"243,510,768",75.98531,0.03,1.029,0.033,0.033
"252,502,752",75.9853080688035,"253,500,746",29.9060650985432,"239,495,500,753",96.7085739057499,"239,500,753",75.9853080688035,1,"239,500,753",75.98531,0.009,1.016,0.016,0.016
"252,502,752",118.74717744751,"266,470,767",106.14719624241,"255,469,500,767",143.559504726248,"255,469,767",109.588061017778,2,"255,469,767",107.78348,0.061,1.02,0.051,0.051
"252,502,752",111.381391869938,"257,494,765",101.87592465026,"248,493,509,768",136.129504716523,"248,493,768",102.680904147956,2,"248,493,768",102.67809,0.026,1.027,0.029,0.029
"252,502,752",126.637303170335,"267,484,764",117.830130057861,"262,481,535,757,775",158.929614441423,"262,481,757",119.268109581846,2,"262,481,757",118.94496,0.045,2.036,0.036,0.036
"252,502,752",75.9853080688035,"293,306,311,489,754",-17.4436890791063,"244,501,763",83.701100056437,"244,501,763",75.9853080688035,1,"244,501,763",75.98531,2.056,0.02,0.02,0.02
"252,502,752",134.277530728135,"250,505,755",129.727918962887,"234,289,504,756",151.819100365112,"234,504,756",130.837228323114,2,"234,504,756",130.75369,0.008,1.024,0.024,0.024
"252,502,752",111.583651535503,"262,511,758",104.469102919084,"248,261,501,539,761",148.578313874937,"261,501,761",105.178726113441,2,"261,501,761",104.93381,0.025,2.014,0.019,0.019
"252,502,752",102.691264863413,"236,503,751",97.4792141963747,"228,501,759",129.745674348458,"228,501,759",98.8616041199637,1,"228,501,759",98.8616,0.018,0.032,0.032,0.032
