"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"359",40.0801935811009,"362",39.7158542051387,"364",41.3263891356796,"364",39.9906435603216,1,"364",39.99064,0.003,0.005,0.005,0.005
"403,535,787",16.0235214331543,"410,545,763",7.03908860202543,"404,545,734,768,783",22.551729352966,"404,545,768",8.00098674023693,3,"404,545,768",7.83561,0.041,2.015,0.03,0.03
"125,234,340,538,653,756,895",161.568418612536,"133,231,349,501",161.998806535982,"109,132,230,355,465,535,665,754,828,917",171.566665579256,"109,132,230,355,535,665,754,917",158.284433802334,3,"132,230,355,535,665,754,917",147.98323,3.431,3.065,1.065,0.065
"206,691,895",89.1220830368666,"199,680,880",76.6952440752973,"199,465,642,686,879",90.4475182830835,"199,642,686,879",82.1761623844884,3,"199,686,879",77.70905,0.033,2.028,1.028,0.028
"242,499,620,757,874",54.4554115951214,"249,531,581,788,876",46.8234969697488,"239,262,501,606,644,746,763,877,888",82.2050392957315,"239,262,501,606,763,888",60.6038320722892,3,"239,501,606,763,888",51.55746,0.111,4.028,1.039,0.039
"363,518,638,743,892",151.96450654335,"341,529,676,737,907",138.577871562814,"332,377,528,647,749,906",152.496852208472,"332,528,647,749,906",142.159592540222,2,"332,528,647,749,906",141.34539,0.092,1.053,0.07,0.07
"166,269,394,527,632,732,893",81.9222208072732,"177,262,366,506,676,677,899",62.2458793906107,"111,163,263,365,433,503,632,735,737,872,897",95.917475881882,"163,263,365,503,632,735,897",68.1402942202486,2,"163,263,365,503,632,735,897",65.58606,0.172,4.069,0.069,0.069
"127",120.675474243361,"153",113.360882153719,"160,414",120.612185739293,"160",113.51894525651,7,"160",113.26252,0.026,1.033,0.033,0.033
"170,348,472,607,746,848",105.05781621903,"178,355,481,606,746,849",92.322224101716,"147,177,350,475,480,605,606,740,866",126.649805805537,"177,350,480,605,740,866",93.4805779810904,2,"177,350,480,605,740,866",93.47493,0.026,3.037,0.043,0.043
"210,363",41.6943168569992,"218,388",31.7741979332999,"195,410,454",48.1526466529816,"195,410",34.991157613821,2,"195,410",34.98889,0.033,1.062,0.062,0.062
